144,KRAMER: Do you handle any of that commercial...real estate?
458,KRAMER: Hi.
461,KRAMER: Hey Morty!  Salad dressing?
467,KRAMER: Quo? Thats not a word.
491,"KRAMER: No, you dont have to challenge that. Thats a word. Thats a definite word."
493,KRAMER: Quone. To quone something.
499,"KRAMER: Nah, we need a medical dictionary! If a patient gets difficult, you quone him."
616,"KRAMER: Uh, Jer, well you know, I was cookin and I, I uh, I came in to get this spatula...and I left the door open, cause I was gonna bring the spatula right back!"
618,KRAMER:  The door.
620,"KRAMER: Yeah, well, I was gonna bring the spatula right back."
622,"KRAMER: Well, I got caught up... watching a soap opera. The Bold And The Beautiful."
624,KRAMER: Wide open!
627,"KRAMER: Look, Jerry, Im sorry, Im uh- you have insurance, right buddy?"
629,KRAMER:  How can you not have insurance?
631,"KRAMER: Jerry! Im gonna find your stuff. Im gonna solve it, Im on the case, buddy, Im on the case."
633,KRAMER:  I made a mistake.
635,KRAMER: Im human.
768,"KRAMER: Jerry, I think Im on to something. I think I found your stuff. You know the Englishman who lives down the hall?"
770,KRAMER: The last couple a days hes been acting very strange. I think hes avoiding me.
772,"KRAMER: Yeah! And get this I just got off the elevator with him and I tested him, I tested him, like I...this is what I said to him, like I, I was like this, I went, Oh, by the way, I know about the stuff."
773,"KRAMER: ..you know, very casually,"
775,KRAMER:  so that he was gonna take me into his confidence.
777,KRAMER: What stuff?
779,"KRAMER: No, you dont understand, you see, he swallowed. See, the guy, he swallowed. Oh, he was nervous about something! Now, Im gonna go over there, Im gonna borrow some tea. If I dont get back in five minutes, maybe youd better call the police."
781,KRAMER: Yeah!
857,"KRAMER:  Yeah yeah yeah yeah take my number. 555-8643. Okay, here he is."
859,KRAMER: Take it.
861,KRAMER: Its for you.
863,"KRAMER: Well, its your phone. He wanted to talk to you."
865,"KRAMER: Well, why not?"
871,"KRAMER: Thats for me.  Kramerica Industries. Oh, hi, Mark. No no no. Forget that. I got a better idea. A pizza place where you make your own pie..."
873,KRAMER:  No no no. Im talking about a whole chain of em. Yeah.
996,"KRAMER: Oh, hey guys. Man, Im telling you, this pizza idea, is really going to happen."
998,"KRAMER: Yeah, we give you the dough, you smash it, you pound it, you fling it in the air. And then you get to put your sauce and you get to sprinkle your cheese, and then- you slide it into the oven."
1000,KRAMER: Its all supervised.
1002,KRAMER: All of it. You want to invest?
1004,"KRAMER: No, Im tellin you, people, they really want to make their own pizza pie."
1006,KRAMER: Thats you.
1008,"KRAMER: Okay, okay. I just wanted to check with you guys."
1010,"KRAMER: You know, this business is going to be big. I just wanted- okay."
1011,"KRAMER: One day, youll beg me to make your own pie."
1041,"KRAMER: Oh, hi Elaine, hey.  Hey, you missed a great game tonight, buddy!"
1043,KRAMER: Knick game. Horneck took me. We were sitting two rows behind the bench. We're getting hit by sweat!
1045,"KRAMER: Last week. When I, you know, gave you the phone. Hes really into my pizza place idea!"
1049,KRAMER: You get to make your own pie!
1051,KRAMER: Yea.
1053,KRAMER: Yeah.
1056,"KRAMER: Okay, who wants meatloaf?"
1058,KRAMER:  Its gonna be hot in a minute.
1155,"KRAMER: Bad news, my friend."
1159,KRAMER: Two and a half points.
1161,"KRAMER: Hey, I told you."
1163,KRAMER: Its all manipulated with junk bonds. You cant win.
1165,"KRAMER: Hey, I dont care. Im just telling you to  get rid of that stock, now!"
1167,"KRAMER: Sell it, just say Im selling!"
1169,"KRAMER: You know, I cant believe you put your money in that Sendrax. And you couldve invested in my roll-out tie dispenser."
1171,"KRAMER: Okay, youre in a restaurant. Youve got a very big meeting coming up..."
1173,"KRAMER:  Oh man, you got mustard on your tie!"
1175,"KRAMER: You just  tear it off, and vvvvrrrpppp you got a new one right here. Then youre gone."
1177,"KRAMER:  Hey, where, where are you going? You gonna take a trip? The map... what..."
1179,"KRAMER: Hey, can I use your place? I got a bunch of friends coming over this weekend."
1181,"KRAMER: Well, its just some people I met at a rock concert.  Cause theyre really good people, Jerry. Im telling you. You know, theyre anarchists. Theyre.. theyre.. theyre.. huge."
1234,KRAMER: How much are you down altogether?
1236,KRAMER: Wow.
1238,"KRAMER: Oh, look at this one by the bus stop. Jerry, come here. Take a look at this."
1240,KRAMER: What a body. Yeeaahh. Thats for me.
1242,KRAMER: Im gonna go down there and try and talk to her.
1357,KRAMER:  Come on up.
